,reputation,harm,liability,obligation,litigation,legislation,respect,invest,uphold,protect,empower,trust
0,0.3739124,0.43855807,0.17787269,0.016076095,0.25037676,0.3482552,0.18116632,0.15756308,0.26921237,0.36701912,0.21755183,0.12873363
1,0.41142645,0.41297945,0.17815945,0.012232072,0.2613046,0.3289843,0.2186015,0.14700192,0.2991378,0.36931586,0.20601444,0.14154369
2,0.39620033,0.42900917,0.14099175,-0.011289562,0.27812812,0.33904615,0.2373318,0.21667689,0.18283266,0.36634767,0.2385288,0.109084114
3,0.3754715,0.37727246,0.124948665,0.043207873,0.24582174,0.33262193,0.25343603,0.15478176,0.18657048,0.37199354,0.1859459,0.10442401
4,0.40370682,0.36944783,0.14455988,0.036302377,0.26170143,0.37802574,0.22194552,0.20262657,0.23477468,0.360542,0.24953353,0.13773738
5,0.41778383,0.3896113,0.17985065,0.0019471592,0.29284278,0.34423247,0.20642851,0.18673727,0.18313521,0.3722744,0.21803088,0.14614159
6,0.43420425,0.41022608,0.14849594,0.00284351,0.29316053,0.36702356,0.22351247,0.1802976,0.21508609,0.36308762,0.22071841,0.16724895
7,0.4057868,0.39204052,0.15975697,-0.011246859,0.2871802,0.3711939,0.2338798,0.20727493,0.20340088,0.35569632,0.22466007,0.11158522
8,0.4133555,0.42514825,0.17736177,0.014325864,0.2762198,0.3612553,0.22374347,0.16675016,0.1916045,0.35551086,0.22777455,0.14271039
9,0.40086725,0.4008242,0.1484636,-0.014686566,0.29512644,0.35779324,0.19963211,0.18593389,0.23356102,0.37679958,0.21594296,0.110920705
10,0.3895471,0.37579763,0.12536019,0.022530694,0.2830137,0.36002436,0.23259594,0.16335405,0.20766976,0.35890666,0.1989696,0.15561609
11,0.42220366,0.39007196,0.14593196,0.043876,0.2351517,0.36542058,0.22868115,0.19539459,0.17622721,0.39455903,0.22265297,0.17824222
12,0.41462114,0.3924639,0.15946601,0.029158222,0.25281295,0.31614256,0.24889794,0.13719031,0.1871145,0.38984904,0.17292798,0.12052536
13,0.40013108,0.3958443,0.14098749,0.02897559,0.27464452,0.3792152,0.24574701,0.14828043,0.16724727,0.38156003,0.17557804,0.14622013
14,0.39261413,0.38538176,0.1568269,0.004813067,0.2568513,0.33796337,0.23737042,0.19534329,0.16961391,0.39286268,0.119563766,0.16977286
15,0.41935694,0.40521175,0.15915199,0.012046816,0.27806002,0.33178583,0.23481914,0.1120684,0.17598395,0.3912361,0.15955557,0.11903832
16,0.42822343,0.41415513,0.16352728,0.04875051,0.2829152,0.3612421,0.22487663,0.17829569,0.22089808,0.37994066,0.18734777,0.13735223
