,reputation,harm,liability,obligation,litigation,legislation,respect,invest,uphold,protect,empower,trust
0,0.39901647,0.3648169,0.09185715,0.007990143,0.17278825,0.37876496,0.20684204,0.13410224,0.15209225,0.35831425,0.19846971,0.10751001
1,0.38752764,0.37358603,0.15099451,0.028652502,0.18229039,0.3228354,0.23554604,0.14375162,0.12595205,0.3336072,0.22555554,0.08724298
2,0.3951547,0.36296687,0.1279825,-0.03395278,0.17667517,0.36063716,0.22712381,0.16652071,0.14195901,0.40570122,0.21757907,0.10100429
3,0.40615696,0.39554602,0.13275471,-0.01875935,0.19138516,0.339989,0.24065368,0.14992014,0.14587867,0.37647617,0.22999723,0.11262502
4,0.37423572,0.38782436,0.15544367,0.021588763,0.16951512,0.33784863,0.21136607,0.095897324,0.12083284,0.34635022,0.20594087,0.08533959
5,0.41730168,0.4398774,0.115854904,0.023554215,0.20213579,0.36693835,0.18174261,0.17239635,0.111765206,0.3969523,0.20836839,0.0984174
6,0.42138177,0.40846914,0.1516314,0.0058049564,0.16110852,0.37951365,0.22435533,0.10370135,0.11615668,0.38550135,0.15901868,0.08102558
7,0.4377586,0.4198801,0.13331103,0.017195908,0.19629578,0.36073008,0.2342149,0.15824641,0.09358991,0.3928303,0.18014488,0.118525885
8,0.3947873,0.4143939,0.14058694,-0.0045239693,0.17948113,0.3528532,0.19678591,0.18621226,0.10246104,0.3716342,0.24403687,0.08517073
9,0.39160323,0.37807015,0.12889165,0.0028420547,0.16795228,0.37569603,0.2306427,0.15488265,0.13955857,0.41978493,0.20891087,0.10293273
10,0.36045063,0.32263625,0.11612764,0.045388978,0.18024495,0.3635365,0.24120997,0.18962663,0.09905687,0.36100054,0.1879952,0.118735716
11,0.4054636,0.36260718,0.17376976,0.01883213,0.19722316,0.36904746,0.18986405,0.122719355,0.03948183,0.37666476,0.17367671,0.06953493
12,0.45019522,0.38406882,0.12260133,-0.03602251,0.18237239,0.34760422,0.22525392,0.12193216,0.08568695,0.40785864,0.18930607,0.08084966
13,0.4318979,0.3952383,0.13141684,0.061607756,0.18798941,0.34385705,0.22074282,0.13581875,0.09484206,0.39276075,0.17058946,0.09933565
