,reputation,harm,liability,obligation,litigation,legislation,respect,invest,uphold,protect,empower,trust
0,0.42087877,0.41684037,0.18500043,0.037744585,0.25842774,0.33857036,0.1984368,0.15578502,0.29133543,0.36829144,0.19658306,0.10381786
1,0.37167424,0.35909933,0.17422614,0.049663816,0.2680101,0.33734965,0.14714988,0.15935837,0.22294632,0.33262774,0.15351719,0.1413209
2,0.4397159,0.42327917,0.1889562,0.0537751,0.28918993,0.3512341,0.20165925,0.11436627,0.26387155,0.40041405,0.1804507,0.09647337
3,0.39496115,0.38309845,0.17712797,0.04036106,0.25884283,0.34957436,0.1561781,0.13674946,0.23605095,0.39591116,0.23917082,0.090220004
4,0.45470327,0.43216023,0.16600865,-0.028278045,0.2737378,0.3545937,0.1709776,0.15170455,0.22409956,0.4399937,0.21140082,0.08842828
5,0.37166345,0.37234187,0.16260046,-0.026643693,0.21827841,0.35579813,0.19543448,0.11566871,0.2387518,0.39947948,0.19568184,0.05368168
6,0.4131678,0.41044018,0.13028128,0.009444267,0.28113505,0.3442386,0.23145561,0.13828452,0.23843707,0.39765012,0.16960584,0.0974233
7,0.40686467,0.34449908,0.15372919,-0.024601785,0.32197344,0.31685135,0.19903831,0.10852128,0.26032797,0.3743681,0.1675301,0.075708404
8,0.4129356,0.39886668,0.17617273,0.033844225,0.27518132,0.3023441,0.22558726,0.08832141,0.21280183,0.3604396,0.17725821,0.085067205
9,0.41831872,0.38834167,0.18669067,-0.00976641,0.27406973,0.31925082,0.23586519,0.13765988,0.20256735,0.41060364,0.20913808,0.09844544
10,0.39361122,0.33863056,0.22171313,0.055699408,0.26690602,0.33198467,0.20191482,0.15174326,0.21523571,0.37701342,0.17468874,0.077171385
11,0.39120215,0.40403917,0.15344702,-0.022384677,0.28911108,0.38004735,0.24353306,0.11713426,0.23424906,0.40350717,0.20102224,0.10373241
12,0.38136962,0.4150835,0.17407292,0.028120363,0.25215858,0.36265376,0.23859556,0.14247912,0.23383836,0.40883273,0.16862611,0.07408658
13,0.3976439,0.39649776,0.17376055,0.022952566,0.255208,0.3648505,0.26077178,0.091138914,0.22167102,0.36454615,0.22053732,0.104957186
14,0.40133387,0.40345076,0.18030466,0.05611438,0.2767,0.36219272,0.19697078,0.16751607,0.21899809,0.40213248,0.17143518,0.1035139
15,0.39560127,0.39515072,0.16290228,0.0060421117,0.27739114,0.33427224,0.17294496,0.13328983,0.24390297,0.41778794,0.11899001,0.13844588
16,0.36615172,0.3972194,0.2162507,0.0044747028,0.2816261,0.37998208,0.19313104,0.16185741,0.23732293,0.36341017,0.17502709,0.13000032
17,0.40021077,0.37854907,0.19657315,0.050396055,0.25839862,0.34427628,0.18925177,0.17183504,0.23718056,0.41630164,0.21047878,0.07610209
18,0.43102914,0.40092903,0.2009193,0.054693658,0.2528993,0.36757764,0.2176903,0.11067189,0.23723145,0.38702005,0.17471029,0.11052179
19,0.39441016,0.3934893,0.17823409,0.034962732,0.26153925,0.34632275,0.19228046,0.114753194,0.24932604,0.3804994,0.1847796,0.110371724
20,0.39487356,0.39345965,0.17627013,0.04531432,0.29309517,0.37357154,0.20018192,0.13837953,0.24632718,0.37648925,0.17407008,0.1044418
21,0.42770147,0.39842963,0.1648574,0.032235727,0.23656397,0.35191858,0.24913245,0.10871199,0.23975821,0.39851573,0.16745567,0.112173766
22,0.40392527,0.4030284,0.17816268,0.026542138,0.27504545,0.37521893,0.22623788,0.14977577,0.23712379,0.37140945,0.17936756,0.13092886
23,0.39910132,0.40648732,0.1941347,0.044628404,0.2573551,0.38145092,0.19730625,0.1446788,0.24185205,0.38344422,0.18142541,0.10214151
24,0.37741974,0.38278973,0.18068907,0.028618012,0.27452472,0.3331588,0.21424928,0.12125276,0.25943592,0.35857812,0.1395884,0.14563227
25,0.40183073,0.39356157,0.17894232,0.05282115,0.23898777,0.37758985,0.24563806,0.12815832,0.2517468,0.3737071,0.17709585,0.12293021
26,0.42649916,0.39783564,0.18344687,0.012014099,0.2636519,0.33605692,0.23985098,0.14164965,0.2500012,0.3703077,0.16982289,0.121552505
27,0.40640813,0.42521405,0.13804308,-0.008532377,0.2819867,0.306669,0.21893927,0.14299974,0.23607075,0.36088625,0.14322864,0.13574019
