,reputation,harm,liability,obligation,litigation,legislation,respect,invest,uphold,protect,empower,trust
0,0.41177693,0.4054389,0.124115035,0.034141738,0.23891401,0.43671972,0.22678842,0.19954209,0.26029992,0.3486222,0.19704211,0.100686006
1,0.44162387,0.40616298,0.16155748,0.037249874,0.21917412,0.36770645,0.24929519,0.1384942,0.25743195,0.3982451,0.22333983,0.048111357
2,0.40449223,0.3864228,0.16827329,0.0594815,0.22387931,0.355665,0.17798331,0.20913945,0.25568444,0.40566334,0.22911732,0.06210313
3,0.38759956,0.36507475,0.18634605,0.027989198,0.21000594,0.35217708,0.20665756,0.16939323,0.25579458,0.3966845,0.15690991,0.060439903
4,0.39375058,0.39056113,0.15409383,0.02644317,0.22447994,0.3887954,0.18550979,0.12077112,0.2503486,0.4282294,0.13581906,0.0416218
5,0.4389807,0.41768762,0.13507532,0.035669837,0.22946316,0.3790689,0.20213203,0.104011625,0.24933083,0.40510315,0.15559226,0.05113493
6,0.38697553,0.38052472,0.16164757,0.06753071,0.22539936,0.35467148,0.23820297,0.16264221,0.2520785,0.42366523,0.15682152,0.082121894
7,0.40536484,0.39249688,0.16683948,0.0417504,0.21105625,0.41632518,0.2207165,0.15860164,0.21566807,0.3734183,0.16872205,0.0773501
8,0.42263126,0.34183234,0.15381579,0.057880357,0.21431106,0.4129772,0.21367197,0.13462372,0.21581014,0.4112712,0.18263061,0.07467085
9,0.4193864,0.35843474,0.16189228,0.015002484,0.23803367,0.35755014,0.21112023,0.18138154,0.1923935,0.3911778,0.17464957,0.05970058
10,0.39021152,0.38590735,0.13681333,0.038485922,0.23094676,0.36087936,0.23808688,0.13822213,0.14258572,0.38106403,0.124610946,0.055702634
11,0.39247575,0.38201037,0.117877044,0.041607916,0.2382724,0.39481446,0.20937802,0.1432041,0.1883229,0.42057115,0.1865137,0.083258264
12,0.39986792,0.38738295,0.14039649,0.00088896824,0.242765,0.3837528,0.20106553,0.15114461,0.21177988,0.40254548,0.15829657,0.10745684
13,0.4009865,0.396589,0.14902969,0.048769016,0.21916711,0.386701,0.21310724,0.15412892,0.21020484,0.4002936,0.14792113,0.08949959
14,0.3874607,0.3840253,0.15735647,0.05129912,0.23669817,0.38211197,0.2260383,0.12888923,0.18558152,0.38750297,0.1531644,0.06634787
15,0.41186786,0.37944815,0.16111262,0.035941955,0.21361852,0.3735312,0.19095168,0.15975781,0.16516915,0.37075827,0.13037133,0.06248945
16,0.425399,0.41426817,0.15740697,0.045621946,0.22322348,0.40202916,0.22936623,0.13229442,0.1736995,0.37785992,0.11906917,0.079740286
17,0.42018822,0.41651306,0.14584011,0.04708801,0.19023399,0.41352096,0.18362427,0.13616334,0.18143283,0.34723812,0.11134991,0.086860634
18,0.40988362,0.3850596,0.1428133,-0.0022023572,0.17762321,0.36568478,0.23395924,0.15336189,0.1943914,0.37695363,0.1343078,0.058523167
19,0.3713769,0.38294134,0.12629937,0.016922522,0.22120361,0.39413077,0.2129444,0.1424573,0.17855301,0.38471553,0.13250153,0.06476974
20,0.4059802,0.40509456,0.14493707,0.051017858,0.20152442,0.36987656,0.22455788,0.127312,0.18287249,0.39720207,0.12418486,0.07080214
21,0.41018105,0.37118164,0.16920125,0.0140508935,0.22008242,0.41441354,0.21862346,0.13850333,0.17817976,0.413645,0.15438136,0.07346346
22,0.40793434,0.37869826,0.15697348,0.004631368,0.24136516,0.41667137,0.21473734,0.15210234,0.19325995,0.37845907,0.1694749,0.06782967
23,0.4003154,0.37877738,0.16437843,0.06600685,0.23173295,0.37179092,0.21887597,0.16457738,0.16485645,0.36506176,0.15774262,0.082141556
24,0.38995776,0.3720032,0.16895536,0.023296885,0.18767878,0.38820982,0.20561618,0.11630823,0.17631236,0.39614552,0.15525125,0.054556716
25,0.4079967,0.4013411,0.10823442,0.047403615,0.19849832,0.4164057,0.18633227,0.15304814,0.17260043,0.39169565,0.12190484,0.07204381
26,0.37716773,0.3705867,0.1106406,0.039595615,0.2450818,0.3992572,0.16254075,0.13897192,0.16655271,0.39460635,0.1363762,0.061725173
27,0.4198962,0.3910431,0.15222418,-0.0043581594,0.22115673,0.41598415,0.25164202,0.15004201,0.17550911,0.40525892,0.15309724,0.06976154
28,0.41015473,0.3876053,0.13896744,0.022402827,0.22309984,0.4339841,0.24342898,0.12468378,0.14924574,0.40169,0.1576783,0.076541565
29,0.3695198,0.37895036,0.14366983,0.066269204,0.22531602,0.37432393,0.2195922,0.14245689,0.16641878,0.35112444,0.15971796,0.06581601
30,0.40502042,0.38600945,0.15928905,0.04365611,0.2183229,0.39498487,0.21260656,0.11792318,0.1388408,0.3970301,0.12166426,0.09864958
31,0.39057037,0.3823343,0.13149297,0.012382045,0.1934286,0.3623422,0.22246867,0.16904485,0.17438233,0.3621059,0.14277123,0.099821925
32,0.39220122,0.34250367,0.14125682,0.026583755,0.20581199,0.40245578,0.24300206,0.09217147,0.18404736,0.38733172,0.16854066,0.060610298
33,0.37176496,0.39098325,0.15190141,0.038420755,0.19362324,0.36758304,0.2417904,0.12083838,0.15789635,0.37272158,0.1415064,0.05967789
34,0.3589533,0.33843157,0.15898624,0.032989264,0.23837261,0.3942358,0.2012128,0.12892845,0.14163625,0.38475734,0.15407017,0.07763681
35,0.39784145,0.4195118,0.1429695,0.039260946,0.22303656,0.36772713,0.22903231,0.14834975,0.18387486,0.35693154,0.17901339,0.09395628
36,0.42149374,0.40601283,0.16434024,0.02805157,0.23096722,0.41657987,0.21365958,0.16516435,0.2068234,0.4075406,0.19160485,0.086720474
37,0.42892793,0.39428613,0.16781558,0.04856947,0.22868472,0.38568386,0.22102925,0.10982293,0.1523588,0.3596745,0.18476997,0.06548202
