,reputation,harm,liability,obligation,litigation,legislation,respect,invest,uphold,protect,empower,trust
0,0.32101208,0.33289528,0.15581517,0.04273425,0.29757825,0.4201748,0.20245545,0.16933407,0.21327707,0.35487902,0.20441866,0.14780737
1,0.32835224,0.32289964,0.15191361,0.035928655,0.30366117,0.43302453,0.2089348,0.13160732,0.2437118,0.34406796,0.18356879,0.1416148
2,0.3107121,0.36824286,0.12922035,0.035895124,0.27598912,0.43598485,0.17469189,0.1400065,0.22885585,0.31819355,0.19686979,0.13155204
3,0.3583751,0.3213228,0.13941327,0.047758404,0.31094974,0.4242821,0.18258801,0.16040374,0.2170871,0.34501186,0.22724983,0.12484344
4,0.36545834,0.3679905,0.16401325,0.025667222,0.29631236,0.41861567,0.18595196,0.1613136,0.20355542,0.3255986,0.21185127,0.13005176
5,0.34351337,0.3468091,0.1359283,0.05269521,0.28615394,0.4666444,0.18338329,0.158856,0.1914105,0.37006643,0.17485116,0.14664514
6,0.3529325,0.33275998,0.16791001,0.030115679,0.26966882,0.45009243,0.21962579,0.1518269,0.16376117,0.34113997,0.18976434,0.11840497
7,0.33246452,0.3360668,0.15649632,0.029701186,0.27469987,0.41073203,0.22139113,0.13597901,0.14462785,0.36399892,0.18956262,0.12386474
8,0.34344035,0.35186234,0.14399853,0.019866189,0.2826677,0.4344475,0.23337688,0.15075631,0.17323439,0.35342377,0.17783275,0.13674842
9,0.36823577,0.36329466,0.13207856,0.018003875,0.27604628,0.4501389,0.19377905,0.15724008,0.17409448,0.34950095,0.16028924,0.11444782
10,0.34654507,0.3822593,0.13285728,0.026863165,0.30362085,0.4553587,0.19782431,0.12318666,0.16786452,0.35470182,0.19181535,0.11950245
11,0.3694317,0.34627283,0.16434298,0.022681713,0.3077256,0.433705,0.19876522,0.15699261,0.14371519,0.34482464,0.19237824,0.14124809
12,0.36783397,0.3126418,0.12669937,0.024934985,0.29200166,0.4430248,0.21087751,0.1594137,0.15766202,0.35233554,0.20178223,0.13684145
13,0.34299818,0.36011896,0.14542197,0.03476531,0.26612717,0.41733354,0.21861681,0.12700428,0.13971062,0.34383193,0.1906016,0.123676494
14,0.36186352,0.36758813,0.16270967,0.035872687,0.2966075,0.43954855,0.19420557,0.14677678,0.12422671,0.33689952,0.17528422,0.11392758
15,0.35226187,0.3529693,0.1555973,0.03296253,0.29224694,0.4383872,0.20250449,0.15158801,0.15887642,0.36284778,0.18638767,0.13505864
16,0.3768089,0.3637089,0.1657192,0.06467563,0.31560636,0.42973262,0.19011931,0.17483063,0.15426819,0.3382299,0.18631037,0.14087552
17,0.37540445,0.37654495,0.13223667,0.01842376,0.283216,0.43571183,0.21517533,0.1855118,0.14587258,0.3697779,0.21314345,0.13291527
18,0.3469072,0.3382559,0.14185324,0.08506315,0.2834804,0.43502116,0.223462,0.18541025,0.1844106,0.36335516,0.18117128,0.10857004
19,0.37497237,0.3621162,0.14182964,0.02859225,0.30359232,0.42135376,0.17439234,0.17000692,0.16619138,0.3406033,0.19552356,0.12481407
20,0.36356798,0.35905463,0.1708505,0.050194293,0.30563357,0.4382679,0.20728508,0.18242763,0.17780386,0.36474162,0.14583929,0.12419442
21,0.36809403,0.3538466,0.14564992,0.022298971,0.26628113,0.45820394,0.2110954,0.15691632,0.19249496,0.35667115,0.19690226,0.10415982
22,0.36802772,0.3752751,0.13252671,0.025173819,0.2779648,0.4173406,0.18013783,0.17244782,0.1816972,0.34269628,0.16568464,0.11624589
23,0.34391734,0.3418077,0.1624223,-0.0080136815,0.3056058,0.44679964,0.21317326,0.16785061,0.19073723,0.3683424,0.16636749,0.14702664
24,0.3445573,0.35616833,0.17692262,0.062967785,0.2823923,0.44082478,0.20404206,0.16813785,0.2262179,0.35475886,0.18678193,0.09005539
25,0.33778778,0.33601412,0.14904568,-0.00042961395,0.26305017,0.42226115,0.21318941,0.16714938,0.20067424,0.37564483,0.20134586,0.124256015
26,0.3363507,0.36199626,0.17220315,0.038907487,0.29042575,0.46561775,0.20817639,0.17027001,0.18216905,0.36397928,0.19604714,0.122759156
27,0.36258847,0.37947035,0.15923479,0.057039257,0.29717505,0.43430322,0.20188625,0.16539487,0.16307673,0.33408746,0.16264683,0.12414441
28,0.3595146,0.37453088,0.15079871,0.009726761,0.27136567,0.43552968,0.18687038,0.13435966,0.15912475,0.3527972,0.19616763,0.12874334
29,0.3373501,0.36643445,0.1338167,0.037788454,0.29016092,0.4676442,0.20535463,0.16234118,0.19311753,0.35263923,0.16637015,0.10773335
30,0.33884236,0.358691,0.16333637,-0.011632271,0.31762603,0.41472074,0.19665523,0.15707752,0.16367067,0.3516125,0.15750688,0.12860557
31,0.39191455,0.34321058,0.15630431,0.032907467,0.29835603,0.44578347,0.18156862,0.17428243,0.16879138,0.3457888,0.14343908,0.106047474
32,0.33909926,0.34212342,0.13644141,0.031806413,0.29359317,0.45157152,0.20042591,0.1615635,0.15975523,0.30698043,0.1570576,0.114441566
33,0.34157062,0.38361594,0.17909412,0.036400594,0.29810202,0.46639016,0.20801014,0.17546691,0.18636312,0.3556207,0.17896827,0.13363835
34,0.3935299,0.39001676,0.17397396,0.036560077,0.3089079,0.45865372,0.24103458,0.17619167,0.19471547,0.36448914,0.12996185,0.13545536
35,0.37654388,0.35480338,0.16091974,0.04963895,0.29005626,0.44268924,0.22091267,0.1518447,0.16058822,0.35058337,0.15281487,0.0903787
36,0.377765,0.3386127,0.14798872,0.026906615,0.2635958,0.40247756,0.2091357,0.14967988,0.18324302,0.35487768,0.14248617,0.12450519
37,0.37005162,0.36676052,0.12134358,0.048691165,0.2993029,0.44015226,0.18624188,0.20108171,0.21516852,0.3535719,0.16513988,0.16278976
38,0.32229692,0.33242908,0.16663165,0.059910495,0.26155108,0.43758205,0.21940003,0.16137989,0.15334918,0.36712837,0.16458988,0.1076681
39,0.33655828,0.31687868,0.15984131,0.0035717483,0.2856914,0.46909505,0.1865037,0.16950434,0.1619998,0.3577085,0.17651905,0.12275075
40,0.3588936,0.35775596,0.1732943,0.039463114,0.3127663,0.46471927,0.20337778,0.1924056,0.16067134,0.35421613,0.1613705,0.082884066
41,0.34718207,0.33291796,0.13524245,0.020013828,0.29055744,0.44116414,0.19279604,0.2130098,0.17203727,0.31789443,0.17314696,0.11321621
42,0.34158182,0.38876078,0.17553018,0.03328854,0.27930376,0.4405596,0.1878039,0.19203381,0.15416764,0.33335423,0.18769261,0.11670062
43,0.3593493,0.36442706,0.15726192,0.010282494,0.29875007,0.43727955,0.2252798,0.13140227,0.17028768,0.34419397,0.18485299,0.12939967
44,0.35084066,0.3616763,0.10839687,0.027944881,0.3038462,0.46714446,0.21855633,0.1527212,0.20215803,0.34046113,0.15227595,0.15025744
45,0.36177602,0.35123584,0.1459372,0.031304616,0.31029034,0.45461917,0.2091609,0.14931816,0.2004608,0.34908894,0.17490403,0.13756081
46,0.3654805,0.34017983,0.14792101,0.03258766,0.3180374,0.4524399,0.23148526,0.16626498,0.18709515,0.34620494,0.15257281,0.101916276
47,0.33991507,0.3490706,0.122508,0.056544505,0.2938356,0.43794546,0.17150195,0.14303531,0.15792954,0.33280137,0.2368051,0.12427072
48,0.36678502,0.38618267,0.15957204,-0.011925543,0.31126845,0.42150074,0.1871363,0.16572662,0.18720293,0.35475382,0.16419622,0.1256513
49,0.33469233,0.29910216,0.11964169,0.050090466,0.29345003,0.4549581,0.1735837,0.16088459,0.19310747,0.32123494,0.18943565,0.11724521
