,reputation,harm,liability,obligation,litigation,legislation,respect,invest,uphold,protect,empower,trust
0,0.35298216,0.36998734,0.19748445,0.06969594,0.26156077,0.3327157,0.22138883,0.17319398,0.3053513,0.36645985,0.16526988,0.1274432
1,0.42317778,0.38646576,0.17454985,0.037001926,0.27589962,0.29832608,0.23152068,0.16128227,0.30601746,0.4053423,0.15009528,0.14338584
2,0.43996665,0.39383978,0.20303254,0.059616286,0.27863285,0.30604532,0.2297088,0.1406271,0.25484547,0.37144852,0.1160297,0.13772693
3,0.4544007,0.4038071,0.18878105,0.04401928,0.25678343,0.3088557,0.2602505,0.1625048,0.27670306,0.42260078,0.12809698,0.1211274
4,0.4161102,0.38380763,0.18773125,0.06422933,0.26641762,0.2973329,0.23949856,0.15732175,0.27322614,0.3583595,0.14834173,0.12053584
5,0.41596183,0.38955057,0.1709047,0.036862373,0.25649777,0.3385168,0.24670981,0.15036304,0.21014334,0.40849495,0.15171921,0.11837989
6,0.4373692,0.37985837,0.18000613,0.050144803,0.24821514,0.34304562,0.26164448,0.15794489,0.19505571,0.4269193,0.13640803,0.14918163
7,0.46503952,0.40047643,0.15399615,0.09542937,0.29212567,0.280862,0.24215484,0.19216008,0.24700384,0.38846388,0.14051305,0.12632644
8,0.41654038,0.36668378,0.1452006,0.07397915,0.27975082,0.32537368,0.25833675,0.16955467,0.21483618,0.37066746,0.15189114,0.11538155
9,0.4025407,0.35405105,0.16378275,0.06060758,0.2772762,0.2875461,0.2560154,0.10523042,0.2477438,0.39942634,0.13700238,0.14782374
10,0.4131322,0.40237954,0.20109466,0.05900396,0.26605567,0.29108933,0.2326114,0.16790676,0.21763732,0.3759843,0.08710534,0.1495741
11,0.42424607,0.4008939,0.18038397,0.033463437,0.29496992,0.27454585,0.238452,0.13821346,0.2542305,0.39242876,0.17431623,0.11109727
12,0.39598238,0.37724715,0.1759718,0.049582526,0.23561016,0.28041822,0.24182165,0.15648831,0.22978143,0.38703284,0.13672611,0.1034412
13,0.4364468,0.3902491,0.14635493,0.057826918,0.26805055,0.32038385,0.2530002,0.1285337,0.23652185,0.3686674,0.093270876,0.13793477
14,0.41743395,0.3941006,0.1781755,0.05453446,0.25034007,0.3016703,0.25099674,0.13189673,0.24538076,0.37768033,0.09893725,0.16000684
15,0.42879575,0.4215268,0.18980224,0.045699537,0.25845185,0.27766848,0.23881626,0.13659686,0.2387192,0.38000348,0.08814881,0.12551902
16,0.424009,0.41815174,0.16802183,0.06865387,0.2554246,0.2829008,0.25222394,0.1338566,0.26410404,0.40225255,0.12135071,0.13758017
17,0.45591,0.39538792,0.14912933,0.043242887,0.259752,0.30681452,0.21721293,0.113013595,0.24403793,0.40044227,0.13024922,0.1557098
18,0.46147677,0.39513916,0.14681737,0.06836865,0.24750167,0.32919836,0.2373678,0.15511957,0.26008806,0.39874697,0.1356503,0.12363349
19,0.45634565,0.4072275,0.17819655,0.036508832,0.24232109,0.30925995,0.2182506,0.14751434,0.22025838,0.3664232,0.13182385,0.11840008
20,0.41185057,0.38784343,0.175264,0.05000938,0.2694929,0.28341138,0.24706481,0.14046374,0.22712359,0.3858015,0.11190903,0.098371826
21,0.45726377,0.40216368,0.171738,0.073602565,0.23887432,0.2958852,0.27033356,0.14451446,0.20557286,0.3788356,0.10986985,0.10388616
22,0.4366998,0.38022122,0.16187485,0.032009043,0.21675403,0.29718083,0.25776398,0.19507647,0.19635472,0.39150563,0.1307416,0.15809809
23,0.42076695,0.37400895,0.17145559,0.03024582,0.24677642,0.3143843,0.22503494,0.14270167,0.21027774,0.3636665,0.11905429,0.16180097
24,0.39276522,0.35774663,0.17920788,0.07075823,0.2778977,0.33095583,0.21841343,0.15004437,0.19146669,0.3729306,0.12210674,0.109439
25,0.42844743,0.3880337,0.20083752,0.05187387,0.23349448,0.32091954,0.23103619,0.1667839,0.2295737,0.45206064,0.111573115,0.11532449
26,0.40707406,0.37292343,0.21443987,0.07605512,0.2540932,0.30777937,0.24321789,0.14336169,0.21276455,0.40026805,0.1154975,0.13691096
27,0.43579254,0.3980274,0.18487999,0.060339063,0.28609675,0.33154705,0.23172618,0.12731844,0.22061078,0.40259182,0.14748351,0.13825439
28,0.39249656,0.3672613,0.18149312,0.034122534,0.24104527,0.2682205,0.25801927,0.20608471,0.22700474,0.3671665,0.12693296,0.11559542
29,0.4315992,0.37800452,0.17559391,0.06075466,0.27129978,0.3088385,0.23443308,0.16079874,0.23091936,0.42116532,0.14985749,0.10997204
30,0.4174389,0.3755989,0.16529119,0.061649833,0.23518874,0.31208825,0.20215866,0.15279688,0.26046064,0.37785098,0.1553249,0.12504604
31,0.4304876,0.41021973,0.21053934,0.082331374,0.25491112,0.2909103,0.23736098,0.12278018,0.28100395,0.38435987,0.16377088,0.09385291
32,0.4086791,0.35668528,0.16994917,0.08036876,0.2584815,0.3184167,0.22415277,0.15095901,0.27270606,0.3852397,0.117350236,0.12039822
33,0.43753374,0.40743932,0.18184459,0.0756696,0.2619784,0.287222,0.23316556,0.122576594,0.24239315,0.3753247,0.11192645,0.13380708
34,0.4107461,0.39022648,0.17912792,0.071885325,0.24763423,0.29348683,0.22076014,0.117551304,0.17539309,0.38897455,0.14628775,0.12718207
35,0.4305321,0.3815007,0.19664396,0.041187074,0.2684867,0.31181177,0.24263145,0.1787889,0.1985549,0.35642168,0.10131232,0.11740812
36,0.39372098,0.35709304,0.19687639,0.056722146,0.25344464,0.27822423,0.23776466,0.13043356,0.23877911,0.3799353,0.12446833,0.13124985
37,0.39392984,0.38557038,0.16625938,0.060086682,0.24013032,0.32781547,0.24467371,0.16585551,0.23768051,0.38233435,0.14408463,0.13944261
38,0.41979083,0.3638244,0.16663028,0.06688381,0.2549429,0.30477858,0.2402663,0.14043234,0.20645477,0.3827915,0.11947386,0.14117597
39,0.3925259,0.39403948,0.17819805,0.07009641,0.25761014,0.29336458,0.22912621,0.1576106,0.22018652,0.3917858,0.11911603,0.12476482
40,0.44172317,0.37604606,0.1959922,0.02514009,0.27990893,0.24998821,0.2432945,0.12507904,0.21047606,0.40051785,0.16026409,0.123102225
41,0.42109975,0.3684928,0.16866945,0.056099147,0.26307526,0.3091827,0.22150744,0.12961362,0.20729631,0.36314178,0.14301154,0.1664771
42,0.4208629,0.37413132,0.14719084,0.0057534385,0.27256486,0.30706936,0.27008367,0.15072022,0.19600679,0.41641587,0.1896136,0.12973413
43,0.42086145,0.34944257,0.20228024,0.08186405,0.28806806,0.29719162,0.23975015,0.113454245,0.23185755,0.39104965,0.14295529,0.06816673
44,0.42895716,0.3911539,0.1707218,0.076677695,0.25510633,0.30832687,0.23942898,0.11464511,0.2168294,0.40382355,0.1487978,0.086884975
45,0.39409795,0.38351172,0.16577579,0.06045185,0.25021055,0.30514157,0.23354565,0.15435298,0.22587028,0.40772504,0.17159271,0.15658508
46,0.3838646,0.40108532,0.15948363,0.06818386,0.23945181,0.31739572,0.22785227,0.12563075,0.23994415,0.39110056,0.12696835,0.084701344
47,0.3987333,0.4066927,0.17849901,0.097665794,0.25501823,0.32329136,0.20744425,0.13076702,0.2198244,0.418141,0.13152662,0.14177877
48,0.43497953,0.39058912,0.19569938,0.0652115,0.2172524,0.3178337,0.21957298,0.11848315,0.19901614,0.38736042,0.12809128,0.13894814
49,0.44731897,0.39723793,0.17251965,0.03785371,0.25749126,0.2876266,0.24438617,0.1486841,0.22797486,0.37320894,0.08906855,0.15261984
