,reputation,harm,liability,obligation,litigation,legislation,respect,invest,uphold,protect,empower,trust
0,0.376556,0.37878633,0.1572956,0.03596983,0.2766061,0.41667673,0.22007939,0.14830588,0.21289502,0.3565459,0.1476263,0.120599054
1,0.39107448,0.34554693,0.12089579,0.012267452,0.25524342,0.35686433,0.2256678,0.1317125,0.26871762,0.36196145,0.15957335,0.07488982
2,0.4112806,0.37409067,0.1272285,0.053271223,0.2700632,0.4149496,0.26145273,0.13361967,0.21513239,0.37218577,0.14139804,0.14653914
3,0.37856337,0.35245863,0.11479564,0.009221103,0.23749241,0.3575647,0.19946124,0.15188111,0.23130795,0.35238928,0.11782032,0.08961173
4,0.39494807,0.3857422,0.15396339,0.00076646503,0.3108236,0.40677708,0.19520718,0.1315464,0.20589294,0.40294203,0.19965695,0.15823707
5,0.3921113,0.36540338,0.14051615,0.019576546,0.2696494,0.45206985,0.2357711,0.16979241,0.18600866,0.36018175,0.17519519,0.10470066
6,0.40890342,0.38666105,0.16812082,0.01475011,0.276959,0.4053885,0.20937212,0.117168725,0.21682276,0.36874965,0.21251144,0.123315275
7,0.39229804,0.40519804,0.159865,0.016906258,0.27744097,0.4028539,0.20796564,0.17041275,0.16885708,0.3582686,0.18465926,0.15180099
8,0.39785504,0.3881515,0.15292746,0.020483155,0.25599647,0.43262547,0.19183983,0.12501648,0.2174296,0.37825778,0.18039972,0.13397777
9,0.4071991,0.3904064,0.13819252,-0.011414948,0.25975823,0.42846993,0.22088765,0.13729796,0.18242002,0.39273584,0.18782207,0.08034387
10,0.40034437,0.37438112,0.14082302,0.024056012,0.23954436,0.4250589,0.20886819,0.111690156,0.20022587,0.3479474,0.17618087,0.10732954
11,0.3993599,0.3860009,0.14837985,0.0073824823,0.24696349,0.42754918,0.2137031,0.15318623,0.1503361,0.36680117,0.16526885,0.07541155
12,0.40839782,0.36328098,0.15240176,0.0053561614,0.29242244,0.41738734,0.17076597,0.15600617,0.16699149,0.38710755,0.16242336,0.096991025
13,0.39860323,0.37765795,0.14732394,0.034600895,0.2493731,0.41187996,0.1826882,0.17981705,0.16641016,0.36513424,0.16575553,0.13301483
14,0.42547488,0.37706155,0.15666226,0.02481939,0.25551692,0.37109596,0.19852053,0.13793132,0.19406304,0.3865184,0.1368449,0.12308168
15,0.40350822,0.3418258,0.16169101,0.009286511,0.26946148,0.38667136,0.18962532,0.1498146,0.19890568,0.38679507,0.13955562,0.1257407
16,0.4050991,0.34568268,0.13438812,0.009896571,0.2580239,0.38479403,0.17435668,0.14480026,0.21155937,0.372541,0.17030196,0.13910459
17,0.4085537,0.37549633,0.1616749,0.027403926,0.25417393,0.40484688,0.19934319,0.14389421,0.18629856,0.36875376,0.16804512,0.13967043
18,0.41673207,0.35634795,0.15642798,0.05696879,0.24288686,0.40684268,0.1886246,0.13515303,0.217455,0.40495712,0.21522194,0.103782035
19,0.40995824,0.35718828,0.17157973,0.026681514,0.24040635,0.41190416,0.15128656,0.1822214,0.206389,0.38995868,0.21122643,0.11535059
20,0.41204703,0.37322387,0.15918796,0.01697444,0.24952157,0.41029868,0.23842357,0.13217501,0.1915573,0.36536297,0.15099041,0.12873292
21,0.41849667,0.38529816,0.16022122,0.02591117,0.22469933,0.41182137,0.19357774,0.11555358,0.20153473,0.36121592,0.15688406,0.104346655
22,0.3991384,0.3586762,0.17186984,0.0049153385,0.22561502,0.43804404,0.20844485,0.12995316,0.20944966,0.3805842,0.20461789,0.07296661
23,0.40250626,0.37573153,0.15767016,0.019130275,0.22935657,0.445481,0.17870073,0.14508009,0.14909312,0.37122265,0.154744,0.099896476
24,0.45127976,0.42544633,0.17082971,0.000409407,0.2715595,0.41343522,0.21468873,0.15880866,0.1376325,0.38564605,0.14311418,0.10444827
25,0.4049225,0.4237136,0.16324197,0.01900459,0.2698081,0.44110304,0.19705497,0.11882508,0.14448272,0.3942778,0.15279374,0.08872118
26,0.4108184,0.37698302,0.1373241,-0.0059329914,0.23748949,0.40537587,0.1900237,0.12396071,0.2078752,0.34781283,0.15296943,0.081553645
27,0.38294882,0.38187855,0.15666455,0.023702592,0.2784861,0.396933,0.15345551,0.11989443,0.15685605,0.3608533,0.13661693,0.101757415
28,0.42776123,0.36758167,0.14339693,0.012206324,0.24385898,0.42560488,0.22307782,0.16133127,0.1919131,0.368465,0.20292394,0.12362704
29,0.4119697,0.37928522,0.17194079,-0.028928524,0.2527405,0.3893262,0.19170104,0.13441631,0.16481677,0.35456628,0.16583431,0.107597634
30,0.3883747,0.35516572,0.12256548,0.016038543,0.2675548,0.44289616,0.20135558,0.1278206,0.13896652,0.36330572,0.10110807,0.12520748
31,0.41538653,0.3784325,0.13324338,0.0044862796,0.26618287,0.39143482,0.19868179,0.15082303,0.15516001,0.3164069,0.117537215,0.08368757
32,0.41554132,0.37184015,0.17136593,0.030169398,0.2632071,0.41000885,0.21566333,0.17812788,0.18487012,0.35617766,0.09983148,0.12210175
33,0.40901378,0.3937227,0.11727063,-0.028292416,0.24622557,0.40147203,0.19076279,0.14826319,0.10462691,0.36448196,0.13154864,0.09367845
34,0.3807259,0.35717866,0.17569426,0.011499007,0.26135182,0.40788847,0.16784546,0.13423423,0.14000903,0.4036866,0.11533591,0.08424975
35,0.4062907,0.36978608,0.15662558,0.006275129,0.27054262,0.4324649,0.1751839,0.15081322,0.13779531,0.38586935,0.17141692,0.13456663
36,0.37895936,0.3770388,0.1463988,0.026334958,0.2654099,0.4332935,0.17463759,0.11982267,0.16347206,0.3554398,0.19450751,0.11451903
37,0.401718,0.39244866,0.13859029,0.00440301,0.2924823,0.4297862,0.2058872,0.15742889,0.18202378,0.35962984,0.13528556,0.13503891
38,0.3921116,0.36601895,0.14810169,-0.0017591751,0.29091507,0.38714653,0.21865119,0.14865322,0.15324475,0.3607907,0.14589977,0.10872301
39,0.38735798,0.35590798,0.17996687,0.027349912,0.27430978,0.427981,0.21145923,0.11437231,0.18805735,0.3712389,0.1673665,0.1048623
40,0.40449244,0.39403516,0.17388037,0.03807507,0.26933834,0.3711009,0.22937141,0.112913296,0.18581419,0.33438236,0.16668162,0.10611381
