,reputation,harm,liability,obligation,litigation,legislation,respect,invest,uphold,protect,empower,trust
0,0.4112667,0.38461575,0.16332959,0.0020933116,0.20849589,0.41343954,0.244841,0.14626403,0.23940787,0.38565505,0.24942617,0.105431914
1,0.3531769,0.34404016,0.15847147,0.03282653,0.19788577,0.34654087,0.21661891,0.16463475,0.22997807,0.3872047,0.23384427,0.09480148
2,0.40061238,0.38355234,0.15700144,0.061573092,0.22764114,0.36929765,0.24034618,0.17076351,0.23551673,0.36236018,0.19847065,0.08454218
3,0.37478468,0.38408026,0.1379448,0.050283447,0.19467007,0.39954713,0.22615838,0.17245236,0.26775885,0.3585938,0.23338713,0.062433235
4,0.4166068,0.39994135,0.18179019,0.02508647,0.20045407,0.3695221,0.25278217,0.105362214,0.22355433,0.33517963,0.2263148,0.082440674
5,0.39630178,0.37360933,0.16910791,0.036797464,0.22162814,0.37787688,0.26996458,0.15965156,0.24229653,0.37723652,0.23789057,0.122211345
6,0.42019022,0.39707854,0.15772821,0.014281253,0.2503369,0.41786113,0.25225034,0.13142532,0.23121087,0.37969542,0.229253,0.07850423
7,0.3925922,0.36304572,0.18166046,0.029141452,0.19753134,0.37242627,0.24533045,0.13757844,0.16956529,0.38774577,0.20987704,0.08799352
8,0.37005514,0.37509763,0.16946486,0.06550475,0.20852022,0.3976038,0.2209533,0.14029296,0.20950127,0.38997278,0.17792585,0.09255278
9,0.36363432,0.38333178,0.17148004,0.032512084,0.20203444,0.42170483,0.23469347,0.13236047,0.17630747,0.3444882,0.15686631,0.074679084
10,0.3860499,0.4047247,0.17814498,0.018124936,0.21183082,0.3757689,0.18795449,0.14584771,0.20706514,0.36101368,0.2048508,0.10120323
11,0.3635593,0.39098334,0.17732812,0.036456093,0.21266657,0.3761595,0.25594708,0.12697034,0.2283801,0.39322338,0.20757523,0.12516256
12,0.37908012,0.41437605,0.16719063,0.011010215,0.19975725,0.3739911,0.24365586,0.18454993,0.1945667,0.35484654,0.18147899,0.09977132
13,0.38768134,0.36080724,0.18769164,0.04130894,0.19794866,0.40148196,0.22484396,0.1453529,0.18390732,0.35561565,0.19261488,0.091924116
14,0.37530535,0.35939535,0.15849717,0.004062001,0.19905294,0.4125109,0.22105429,0.13460456,0.1967844,0.36248994,0.21491364,0.10740622
15,0.39918166,0.3668002,0.1768111,0.004400292,0.2102113,0.39386722,0.24983846,0.13634163,0.15911442,0.3818704,0.2071589,0.05366856
16,0.39814165,0.39949995,0.19632317,0.02631427,0.2332924,0.40676388,0.20444734,0.21560204,0.19535135,0.4060369,0.19443005,0.10898235
17,0.37312493,0.3525323,0.16207993,0.03942143,0.18421729,0.3896051,0.1976715,0.17819652,0.1897553,0.39275783,0.19794193,0.063521735
18,0.3925186,0.34806383,0.1284368,0.051598262,0.23668666,0.39010286,0.21354043,0.17652217,0.18437177,0.40059483,0.21988912,0.06328571
19,0.4154257,0.40263397,0.15818468,0.085901484,0.21432088,0.42334846,0.23620375,0.17955528,0.1888377,0.40418223,0.17479634,0.1123289
20,0.36204058,0.40025726,0.17500179,0.06678633,0.21067755,0.38779524,0.24036032,0.18884136,0.20696256,0.36794952,0.1989227,0.13374443
