,0,1,year
0,gdpr,0.6423441767692566,2019
1,cybersecurity,0.6157730221748352,2019
2,hipaa,0.5945975184440613,2019
3,laws,0.5820736289024353,2019
4,corruption,0.5611992478370667,2019
