,reputation,harm,liability,obligation,litigation,legislation,respect,invest,uphold,protect,empower,trust
0,0.3675547,0.35848036,0.13663104,0.054695673,0.14664188,0.35043603,0.22095416,0.06722653,0.2612183,0.37307513,0.21762961,0.040725272
1,0.42539755,0.3707265,0.1718361,0.03385001,0.20496242,0.36579388,0.16377495,0.057238244,0.20620857,0.35565928,0.18215209,0.037712567
2,0.37949133,0.37254694,0.14940964,0.044481546,0.15432544,0.33649817,0.27001077,0.06056226,0.20011821,0.33096528,0.16996017,0.075157166
3,0.35223892,0.3240762,0.12992546,0.059414998,0.14407472,0.34572476,0.19291429,0.07103331,0.17389058,0.3503999,0.17974037,0.075684644
4,0.41655746,0.35690674,0.16753095,0.030868726,0.19504692,0.36370274,0.18311493,0.05281339,0.1585065,0.3587739,0.14388819,0.084788226
5,0.3467647,0.33273137,0.12582463,0.026052205,0.15199512,0.33805856,0.16698089,0.062218223,0.19050571,0.3679007,0.20384154,0.07706705
6,0.38676822,0.35566753,0.14736806,0.012790368,0.15457937,0.39910537,0.14420195,0.058669522,0.15420847,0.33981797,0.13489962,0.07843256
7,0.38781917,0.38441062,0.13426165,0.009245351,0.16555081,0.34667137,0.18004306,0.068696804,0.18174842,0.41345862,0.17665698,0.08624133
8,0.3511408,0.37885147,0.07794389,0.020326106,0.15500712,0.36620325,0.21469265,0.053156745,0.17800818,0.37037465,0.19337778,0.0918096
9,0.36246684,0.33817235,0.1299482,0.082494594,0.13501981,0.38241473,0.14903812,0.114212915,0.15103376,0.37556213,0.17606106,0.13008246
10,0.35216507,0.32051292,0.1407363,0.04641275,0.14624798,0.35257834,0.1883002,0.023016455,0.16832595,0.4125708,0.14361861,0.08018704
11,0.34082037,0.35208228,0.12733869,-0.0119210165,0.14413479,0.3738122,0.19231002,0.059374463,0.16171281,0.3711182,0.15207003,0.061335035
12,0.3800249,0.36189264,0.1189384,0.046185035,0.1461895,0.3676422,0.18894263,0.04047284,0.15041494,0.37646836,0.1503212,0.062023975
13,0.3735967,0.38907212,0.09852434,0.051485907,0.13459702,0.3369978,0.20763414,0.051418263,0.16663115,0.36296886,0.16250362,0.0374872
