,reputation,harm,liability,obligation,litigation,legislation,respect,invest,uphold,protect,empower,trust
0,0.4151115,0.4045883,0.19225767,0.036231656,0.2724303,0.36319986,0.24925551,0.18495636,0.23839301,0.37683368,0.19957007,0.081474535
1,0.4054223,0.38246533,0.18153386,0.03450512,0.28966022,0.35485095,0.2591054,0.14168362,0.24610212,0.4317953,0.23913611,0.10742578
2,0.38609073,0.34459725,0.16416103,0.0023658983,0.3196822,0.3685889,0.21932001,0.15119831,0.18721588,0.39235193,0.17006156,0.085427865
3,0.40277648,0.38769358,0.18717718,0.04778635,0.27105004,0.31151718,0.19882175,0.12976423,0.16193664,0.39266536,0.21743612,0.07691894
4,0.42007464,0.38246775,0.17191117,0.020839842,0.2674497,0.35878104,0.21780673,0.12842001,0.21827307,0.3729102,0.20709664,0.08950027
5,0.39425632,0.37985277,0.16079827,0.05279378,0.27139735,0.33740348,0.23293005,0.15362334,0.20438297,0.39617524,0.1916986,0.11601574
6,0.4168623,0.4120978,0.16612814,-0.0053621395,0.28388205,0.38766855,0.1922486,0.12195125,0.21952203,0.3866601,0.16738959,0.107270926
7,0.42843446,0.3726286,0.16268694,0.03216547,0.27543578,0.3390793,0.20364577,0.16789709,0.20114993,0.40627506,0.21848296,0.12389837
8,0.45104247,0.42233428,0.18126428,0.010463231,0.28283206,0.33326793,0.19802977,0.15162154,0.22801097,0.38233536,0.18626197,0.08632344
9,0.44704083,0.41280827,0.18583624,0.02114666,0.2846631,0.32584873,0.21696353,0.1421832,0.19491598,0.40649983,0.17127313,0.12616374
10,0.40967873,0.38483208,0.1791187,0.034869716,0.27133894,0.34465146,0.2425938,0.16457541,0.22446132,0.3868481,0.18706402,0.12585458
11,0.41790015,0.4116615,0.15088966,0.050538953,0.30681574,0.33959058,0.21811356,0.13465416,0.19515657,0.39073303,0.21508312,0.0926365
12,0.42157343,0.38008264,0.16892903,0.026657654,0.28011703,0.34675482,0.22921242,0.10764953,0.19520885,0.37948987,0.22430928,0.082398646
13,0.40910953,0.39573422,0.18600322,-0.0018185143,0.26039648,0.38241944,0.25774497,0.12918776,0.16917396,0.36070237,0.19128525,0.09664349
14,0.43295613,0.43025833,0.18822637,0.04924905,0.26315892,0.3549098,0.24643154,0.15608013,0.1615556,0.40572336,0.19099697,0.11622451
15,0.42856717,0.38239953,0.18291627,0.014557968,0.29500267,0.36066377,0.2752484,0.12817132,0.19350187,0.3900573,0.19612548,0.10958944
16,0.43120736,0.42126933,0.17561983,-0.009489185,0.3112219,0.2949444,0.21325557,0.13856214,0.17956685,0.3738804,0.21928939,0.08950731
17,0.41329956,0.39498997,0.17962448,0.027734837,0.28066894,0.34718078,0.24916352,0.13984838,0.15421684,0.39286855,0.19090977,0.075819
18,0.38758826,0.36902773,0.19317918,0.053848438,0.26998958,0.3657569,0.25031337,0.1228633,0.2164453,0.35841146,0.17447534,0.11893815
19,0.42933664,0.41881862,0.17375202,0.047640514,0.24527015,0.35833296,0.24081309,0.14488119,0.20102772,0.36941835,0.20528358,0.06366395
20,0.44129992,0.38954103,0.16745088,0.035433788,0.28895208,0.34090248,0.27301377,0.12630278,0.17129865,0.38331768,0.1819487,0.07084921
21,0.44779116,0.43104586,0.17874672,-0.008071687,0.29829103,0.32688195,0.22844669,0.1542982,0.18375124,0.35522214,0.1864081,0.067274675
22,0.4601485,0.4200182,0.17901473,0.012718174,0.28464368,0.33575752,0.23084804,0.1314779,0.1673391,0.3633178,0.15757732,0.09093534
23,0.44757482,0.42039764,0.16246013,0.016355973,0.26600415,0.3684301,0.26046196,0.17928758,0.16910225,0.35182944,0.15781176,0.08561006
24,0.43347088,0.4149461,0.17247993,0.036093373,0.29858685,0.35085082,0.22846958,0.17243555,0.19298267,0.3936403,0.21300085,0.10495697
