,0,1,year
0,ccpa,0.6702914834022522,2022
1,gdpr,0.649480402469635,2022
2,cpra,0.6453781127929688,2022
3,vcdpa,0.620948851108551,2022
4,cybersecurity,0.5954148173332214,2022
